City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
526,Aquiraz,BR,86.45,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
528,Samarai,PG,79.41,clear sky,-10.6167,150.6667,Nuli Sapi
529,Roma,US,88.68,scattered clouds,43.2128,-75.4557,Wingate By Wyndham Rome
535,Oga,IT,77.54,broken clouds,46.4631,10.347,QC Terme Bagni di Bormio Bagni Nuovi
538,Manali,IN,87.89,broken clouds,13.1667,80.2667,Sarathy Lodge
539,Zuwarah,LY,82.87,clear sky,32.9312,12.082,مطعم كابيتانو
540,Puerto Ayacucho,VE,81.72,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
544,Hohoe,GH,80.26,overcast clouds,7.1518,0.4736,Agumatsa Falls Lodge
550,Gizo,SB,81.46,light rain,-8.103,156.8419,Imagination Island
551,Porto Torres,IT,89.78,clear sky,40.835,8.3972,Hotel Elisa
554,Huicheng,CN,79.9,clear sky,23.0385,116.2899,Huilai Hotel
556,Kharsawan,IN,82.31,overcast clouds,22.8,85.8333,Pardhandih(Dabra)
557,Norrtalje,SE,87.44,scattered clouds,59.758,18.705,Norrtälje Vandrarhem Hvilan
560,Natal,BR,84.42,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
564,Lata,PT,86.49,clear sky,40.1629,-8.3327,Casa Maquia
569,Tual,ID,77.99,broken clouds,-5.6667,132.75,Grand Vilia Hotel
570,Zaoyang,CN,78.98,broken clouds,32.1272,112.7542,Shanghai Hotel
571,Logansport,US,84.72,clear sky,40.7545,-86.3567,"Holiday Inn Express & Suites Logansport, an IHG Hotel"
575,Nata,PA,76.87,overcast clouds,8.3333,-80.5167,Rey David
576,Bogande,BF,89.58,overcast clouds,12.9714,-0.1436,Auberge Wendkouni
585,Muisne,EC,75.11,overcast clouds,0.6,-80.0333,Quinta Samay
588,Kuusamo,FI,77.04,clear sky,65.9667,29.1833,Hotel Kuusanka
592,Svetlyy,RU,84.25,clear sky,54.675,20.1347,"Gostinitsa-Kafe, Alena"
593,Valley City,US,77.52,clear sky,46.9233,-98.0032,AmericInn by Wyndham Valley City Conference Center
597,Jurm,AF,77.68,clear sky,36.8648,70.8342,
598,Palasa,IN,82.99,overcast clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
601,Zaltan,LY,84.0,clear sky,32.947,11.8665,Fars Alfelale
604,Lasa,IT,83.28,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
605,Puerto Del Rosario,ES,80.35,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
606,Teguise,ES,80.82,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
613,Lawrenceburg,US,90.0,broken clouds,38.0373,-84.8966,Best Western Lawrenceburg Inn
615,Lucea,JM,87.85,few clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
618,Masallatah,LY,81.21,clear sky,32.6167,14.0,Mustafa Taher Sowaidan
619,Nara,JP,76.5,light rain,34.6851,135.8049,Guesthouse Nara Komachi
626,Kudahuvadhoo,MV,81.66,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
627,Trat,TH,80.87,light rain,12.5,102.5,สวนหนิง-อัศ
631,Cantagallo,CO,82.98,overcast clouds,7.376,-73.9196,Apartahotel Altamira
634,Inirida,CO,82.08,scattered clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
635,Waldoboro,US,89.37,broken clouds,44.0954,-69.3756,Le Vatout Bed & Breakfast
641,Basoko,CD,77.22,light rain,1.2391,23.616,Jackyna Hotel
647,Buchanan,LR,77.83,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
648,Amapa,BR,89.65,scattered clouds,1.0,-52.0,
649,Namatanai,PG,78.73,light rain,-3.6667,152.4333,Seagulls Inn Namatani
651,Russell,US,88.97,overcast clouds,32.3502,-85.1999,Macs
653,Mangaratiba,BR,79.66,clear sky,-22.9597,-44.0406,Portobello Resort & Safari
656,Tshikapa,CD,86.92,scattered clouds,-6.4167,20.8,Tatem beach
658,Acapulco,MX,87.62,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
660,Prudentopolis,BR,75.69,few clouds,-25.2131,-50.9778,Mayná Hotel Prudentópolis
661,Saint-Augustin,CA,76.93,scattered clouds,51.226,-58.6502,
662,Moa,CU,87.76,few clouds,20.6569,-74.9403,Carmen
664,Les Cayes,HT,89.56,overcast clouds,18.2,-73.75,Villa Orphee
666,Susanville,US,81.09,clear sky,40.4163,-120.653,Comfort Inn & Suites
670,Vila Velha,BR,78.75,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
672,Axim,GH,77.59,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
676,Selkirk,CA,75.07,clear sky,50.1436,-96.8845,Canalta Hotel Selkirk
678,Toktogul,KG,78.93,clear sky,41.8708,72.9402,KAGAN
679,Nakhon Si Thammarat,TH,77.67,overcast clouds,8.25,100.0,ร้านไอซ์โมสีshop
680,Arrecife,ES,84.18,clear sky,28.963,-13.5477,Hotel Lancelot
681,Ukiah,US,88.43,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
682,San Ignacio,BZ,86.14,few clouds,17.1561,-89.0714,Rainforest Haven Inn
690,Meadow Lake,US,88.21,scattered clouds,34.8014,-106.5436,TumbleWeed RV Park
694,Hamilton,US,87.62,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
698,Puerto Narino,CO,83.66,broken clouds,-3.7703,-70.3831,Eware Refugio Amazonico
700,Gushikawa,JP,83.43,scattered clouds,26.3544,127.8686,Kirari Guest House
701,Apodi,BR,87.37,overcast clouds,-5.6642,-37.7989,Churrascaria e pousada
703,Sao Gabriel Da Cachoeira,BR,85.8,scattered clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
707,Takoradi,GH,77.38,few clouds,4.8845,-1.7554,Raybow International Hotel
