City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
258,Cullman,US,34.1748,-86.8436,89.82,70,40,8.05,scattered clouds
259,Victor Harbor,AU,-35.5667,138.6167,53.67,90,100,14.36,overcast clouds
260,Sioux Lookout,CA,50.1001,-91.917,73.47,56,40,11.5,scattered clouds
261,Salalah,OM,17.0151,54.0924,77.09,94,100,5.75,overcast clouds
262,Lahat,ID,-3.8,103.5333,72.97,95,73,2.57,broken clouds
263,Aljezur,PT,37.3191,-8.8033,79.83,55,91,10.96,overcast clouds
264,Ulaangom,MN,49.9811,92.0667,64.45,40,89,2.57,overcast clouds
265,Vao,NC,-22.6667,167.4833,73.04,91,6,19.42,clear sky
266,Barra Da Estiva,BR,-13.6261,-41.3269,70.56,52,67,8.55,broken clouds
267,Plettenberg Bay,ZA,-34.0527,23.3716,55.06,79,0,3.27,clear sky
268,Marawi,PH,7.9986,124.2928,69.06,94,100,1.72,overcast clouds
269,Omboue,GA,-1.5746,9.2618,76.6,74,75,10.8,broken clouds
270,Mar Del Plata,AR,-38.0023,-57.5575,56.08,63,0,14.0,clear sky
271,Kruisfontein,ZA,-34.0033,24.7314,53.89,83,0,3.0,clear sky
272,Yarada,IN,17.65,83.2667,84.52,94,75,2.3,mist
273,Rio Gallegos,AR,-51.6226,-69.2181,33.85,75,0,31.07,clear sky
274,Hervey Bay,AU,-25.2986,152.8535,63.19,86,99,21.12,overcast clouds
275,Pacific Grove,US,36.6177,-121.9166,64.2,97,100,10.0,mist
276,Verkhoyansk,RU,67.5447,133.385,51.21,76,85,2.04,overcast clouds
277,Njinikom,CM,6.2333,10.2833,67.64,93,91,3.6,moderate rain
278,Srednekolymsk,RU,67.45,153.6833,41.59,54,18,6.02,few clouds
279,Wlingi,ID,-8.0776,112.3311,69.01,95,44,3.33,scattered clouds
280,Naryan-Mar,RU,67.6713,53.087,52.99,55,1,14.43,clear sky
281,Tukrah,LY,32.5341,20.5791,80.58,56,0,14.12,clear sky
282,Limon,CR,10.0,-83.0333,84.09,79,100,0.0,overcast clouds
283,Kaiyuan,CN,23.6977,103.3037,66.27,95,67,4.43,broken clouds
284,Karaton,ID,-6.3424,106.1045,73.99,93,50,0.43,scattered clouds
285,Verkh-Usugli,RU,52.7,115.1667,59.61,72,89,1.7,overcast clouds
286,Ormond Beach,US,29.2858,-81.0559,93.11,75,40,6.91,scattered clouds
287,Dhidhdhoo,MV,6.8833,73.1,81.61,80,100,18.92,overcast clouds
288,North Bend,US,43.4065,-124.2243,60.24,93,100,4.61,overcast clouds
289,Bhatkal,IN,13.9667,74.5667,79.36,87,76,7.9,broken clouds
290,Oruro,BO,-17.9833,-67.15,59.49,27,66,5.75,broken clouds
291,Takestan,IR,36.0696,49.6959,91.53,44,0,12.06,clear sky
292,Vila Do Maio,CV,15.1333,-23.2167,83.19,83,91,9.28,overcast clouds
293,Plouzane,FR,48.3833,-4.6167,71.65,53,20,12.66,few clouds
294,Nantucket,US,41.2835,-70.0995,78.94,89,100,12.66,fog
295,Tiarei,PF,-17.5333,-149.3333,69.82,75,6,11.79,clear sky
296,Yantal,RU,56.8471,105.2542,58.19,79,98,3.89,overcast clouds
297,Grootfontein,NA,-19.5667,18.1167,69.37,24,0,5.75,clear sky
298,Sao Filipe,CV,14.8961,-24.4956,75.63,87,69,7.11,broken clouds
299,Leh,IN,34.1667,77.5833,71.47,10,88,5.93,overcast clouds
300,Bailen,ES,38.0964,-3.7779,105.48,12,0,10.02,clear sky
301,Yulara,AU,-25.2406,130.9889,51.06,39,4,8.68,clear sky
302,Kharitonovo,RU,61.4009,47.4978,69.91,70,99,4.94,overcast clouds
303,Palmer,US,42.1584,-72.3287,92.14,59,65,4.0,broken clouds
304,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,57.79,100,100,2.24,overcast clouds
305,Derzhavinsk,KZ,51.1,66.3167,70.95,44,11,13.33,few clouds
306,Olinda,BR,-8.0089,-34.8553,76.73,83,75,14.97,broken clouds
307,Opuwo,NA,-18.0607,13.84,76.01,16,0,7.02,clear sky
308,Shache,CN,38.4167,77.2406,82.71,11,0,6.55,clear sky
309,High Level,CA,58.5169,-117.136,60.91,77,75,0.0,broken clouds
310,Dryden,CA,49.7833,-92.7503,73.69,49,40,17.27,scattered clouds
311,Phan Thiet,VN,10.9333,108.1,76.66,89,96,3.04,overcast clouds
312,Banjar,ID,-8.19,114.9675,73.83,88,55,6.15,broken clouds
313,Ancud,CL,-41.8697,-73.8203,41.23,79,100,13.06,light rain
314,Fez,MA,34.0372,-4.9998,100.65,13,40,20.71,thunderstorm
315,Somanda,TZ,-3.3667,33.95,78.44,30,74,9.6,broken clouds
316,Te Anau,NZ,-45.4167,167.7167,33.64,94,43,1.95,scattered clouds
317,Ingham,US,42.6,-84.3833,85.84,54,0,14.97,clear sky
318,Chingola,ZM,-12.529,27.8838,67.77,44,90,3.74,overcast clouds
319,Sapa,PH,5.1544,120.3241,82.17,76,96,4.94,overcast clouds
320,Zeya,RU,53.75,127.2667,60.98,89,100,3.47,overcast clouds
321,Erzin,TR,36.9559,36.2,81.52,66,0,8.57,clear sky
322,Ballina,AU,-28.8667,153.5667,59.04,99,97,21.79,light rain
323,Sechura,PE,-5.5569,-80.8222,68.61,64,63,12.17,broken clouds
324,Deputatskiy,RU,69.3,139.9,37.65,89,3,4.7,clear sky
